"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type","last_update","facebook_text","description","fb_last_update_year","website_type","website_status","fb_rating","fb_reviews","fb_followers","website","rand","Closed-open","comment"
"g274924-d3674979","['Europe', 'Slovakia', 'Bratislava Region', 'Bratislava', 'Bratislava Restaurants', 'Bastion Pub']","Bastion Pub","Claimed",3.5,"September 18, 2019","Šancová 112 Trnavské mýto, Tržnica, Bratislava Slovakia",48.157764,17.126806,"#474 of 1,028 Restaurants in Bratislava","#89 of 124 Bar in Bratislava",32,0,,,"Bar, Central European, European, Pub","Lunch, Dinner, Late Night",,"Outdoor Seating, Seating, Serves Alcohol, Takeout, Reservations, Free Wifi, Accepts Credit Cards, Live Music","True","True",35,30,35,,9,10,7,4,2,"Portuguese (1), French (1), Russian (1), Dutch (1), Italian (2), German (2), English (21), Slovak (3)","g274924-d3674979","in rating","$$ - $$$","Bar, European, Pub",21,11,3,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.bastion.sk",0.462597151752561,"Closed","Site is online, it says we are closed because of COVID"
"g274924-d4043896","['Europe', 'Slovakia', 'Bratislava Region', 'Bratislava', 'Bratislava Restaurants', 'Kozia Brana']","Kozia Brána","Claimed",4,"March 8, 2021","Kozia 610/21 Staré Mesto, Bratislava 811 03 Slovakia",48.14712,17.101902,"#135 of 1,028 Restaurants in Bratislava","#5 of 18 Gastropub in Bratislava",93,0,,"₪16 - ₪80","Contemporary, Diner, Gastropub, Beer restaurants","Lunch, Dinner, Drinks",,"Reservations, Seating, Serves Alcohol, Full Bar, Takeout, Television, Highchairs Available, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants","True","True",45,45,45,40,41,34,6,6,6,"Portuguese (1), Spanish (2), Polish (1), Slovak (11), French (4), Japanese (1), Italian (17), Greek (2), English (35), Russian (14), Czech (2), German (3)","g274924-d4043896","in rating","$$ - $$$","Contemporary, Diner, Gastropub",35,58,11,"Restaurants",,,,0,"non-facebook","online",,,0,"https://www.cozycoza.sk/",0.704661347670481,"Closed","Closed, a new restaurant on its place with a different name and someone has changed a link to the new restaurant’s site. Was able to find a link to an old website, it is unavailable."
"g608699-d8683255","['Europe', 'Bulgaria', 'Ruse Province', 'Ruse', 'Ruse Restaurants', 'Zad Stenata']","Zad Stenata","Unclaimed",4,"June 14, 2021","Hristo G.Danov St. 4, Ruse 7000 Bulgaria",43.84775,25.950321,"#16 of 60 Restaurants in Ruse","#16 of 60 Restaurants in Ruse",33,0,,"₪11 - ₪43","Barbecue, Turkish, Eastern European, European","Lunch, Dinner","Vegetarian Friendly","Reservations, Outdoor Seating, Seating, Serves Alcohol","False","True",45,40,45,,16,10,1,4,2,"French (2), Turkish (2), Italian (1), Russian (1), English (26), Greek (1)","g608699-d8683255","in rating","$$ - $$$","Barbecue, European, Turkish",26,7,0,"Restaurants","October 28, 2022","Обедно меню за 28.10.22г.","Intro
Барбекю - Градина ""Зад Стената"" | Българска и Турска кух?
Page · Barbecue Restaurant
ул. ""Христо Г. Данов"" 4, Ruse, Bulgaria
+359 89 484 8849
some@email.com
stenata.info
Open now
Dine-in · Outdoor seating
Price Range · $$
Rating · 4.1 (171 Reviews)
Offers free Wi-Fi",2022,"facebook","online",,,2100,"https://www.facebook.com/zadstenata",0.503541362239048,"Open","Looks like open. Facebook page became inactive in 2022. On google maps the restaurant exists and there are new comments."
"g799591-d4798111","['Europe', 'Slovakia', 'Presov Region', 'Presov', 'Presov Restaurants', 'Saris Park Restaurant']","Saris Park Restaurant","Claimed",3.5,"September 27, 2021","Zeleznicna 1900, Presov 082 21 Slovakia",49.04116,21.21353,"#19 of 89 Restaurants in Presov","#4 of 9 Eastern European in Presov",46,0,,,"Eastern European, European","Lunch, Breakfast, Dinner, Brunch, Drinks","Vegetarian Friendly","Reservations, Takeout, Buffet, Seating, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service","True","True",35,35,35,,16,14,8,2,6,"Slovak (28), French (1), Polish (1), English (14), Czech (1), Italian (1)","g799591-d4798111","in rating","$$ - $$$","European, Eastern European, Vegetarian Friendly",14,32,28,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.sarispark.sk",0.706515784142539,"Open",
"g189934-d2510572","['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', ""O'Malley's Torni""]","O'Malley's Torni","Claimed",4,"July 28, 2019","Yrjoenkatu 26, Helsinki 00100 Finland",60.16777,24.93858,"#432 of 1,407 Restaurants in Helsinki","#34 of 137 Pub in Helsinki",38,0,0,"₪28 - ₪85","Bar, Pub, International, European","Lunch, Dinner, Drinks",,"Seating, Serves Alcohol, Full Bar, Outdoor Seating, Television, Wine and Beer, Free Wifi, Accepts Credit Cards, Live Music, Non-smoking restaurants","False","True",40,40,40,,9,17,9,2,1,"Russian (4), English (21), Spanish (1), Finnish (9), German (2), Dutch (1)","g189934-d2510572","in rating","$$ - $$$","Bar, International, European",21,17,9,"Restaurants",,,,0,"non-facebook","online",,,0,"https://www.raflaamo.fi/en/restaurant/helsinki/pub-omalleys-torni",0.714354555122554,"Open",
"g315776-d4773033","['Europe', 'Finland', 'Uusimaa', 'Hanko', 'Hanko Restaurants', 'Cafe Regatta']","Café Regatta","Claimed",4.5,"January 2, 2021","Merikatu 1, Hanko 10900 Finland",59.821564,22.969679,"#2 of 4 Coffee & Tea in Hanko","#2 of 4 Coffee & Tea in Hanko",32,0,0,,"Cafe","Drinks, Breakfast, Lunch",,"Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Wheelchair Accessible, Accepts Credit Cards","True","True",45,50,45,,21,9,2,0,0,"French (1), Portuguese (1), Finnish (10), Russian (2), English (13), Swedish (5), German (1)","g315776-d4773033","in rating","$$ - $$$","Dessert, Cafe",13,20,10,"Coffee & Tea","October, 2023",,"Intro
Open every day around the year, from early morning until late night! You are warmly welcomed!
Page · Cafe
Merikannontie 8, Töölö, Helsinki, Finland
some@email.com
caferegatta.fi
Closing Soon
Outdoor seating
Price Range · $
Rating · 4.5 (2,212 Reviews)",2023,"facebook","online",4.5,"2,212",15000,"http://www.facebook.com/caferegatta",0.789790856651962,"Closed","Link to cafe with the same name in another city. Quite close to the address on TripAdvisor there is hotel regatta, but could not find cafe regatta."
"g663130-d6953865","['Europe', 'Bulgaria', 'Burgas Province', 'Pomorie', 'Pomorie Restaurants', 'Restaurant Barbut']","Restaurant Barbut","Unclaimed",4.5,"August 26, 2020","Akheloy St. 12 Aheloy 14, Pomorie 8200 Bulgaria",42.556202,27.643305,"#8 of 37 Restaurants in Pomorie","#6 of 21 Seafood in Pomorie",37,0,,,"Seafood","Breakfast, Lunch, Dinner","Vegetarian Friendly","Reservations, Outdoor Seating","True","True",,50,50,,22,9,4,1,1,"Polish (1), English (11), Slovak (2), Hungarian (1), German (2), Russian (20)","g663130-d6953865","in rating","$$ - $$$","Seafood, Vegetarian Friendly",11,26,0,"Restaurants","July 17, 2022",,"Intro
Page · Local business
+359 89 915 8672
Open now
Price Range · $
Rating · 4.1 (99 Reviews)",2022,"facebook","online",4.1,99,1300,"https://www.facebook.com/RestorantBarbut",0.49255114630796,"Open",
"g189934-d7649156","['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Thai Ravintola Orchid']","Thai Ravintola Orchid","Unclaimed",4,"July 3, 2020","Loennrotinkatu 27, Helsinki 00180 Finland",60.164356,24.932673,"#262 of 1,407 Restaurants in Helsinki","#7 of 50 Thai in Helsinki",63,0,0,,"Asian, Thai","Lunch, Dinner","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Seating, Serves Alcohol, Wheelchair Accessible, Table Service","False","True",35,40,35,,19,34,6,1,3,"Portuguese (1), German (4), French (3), Finnish (8), English (38), Italian (3), Russian (2), Dutch (1), Japanese (3)","g189934-d7649156","in rating","$$ - $$$","Asian, Thai, Vegetarian Friendly",38,25,8,"Restaurants",,,,0,"non-facebook","online",,,0,"http://thaimaalainenravintola.fi",0.405361226759851,"Closed","No such restaurant on google. URL shows a chain of restaurants that doesn’t list anything with exact same name or exact same address."
"g947978-d4283560","['Europe', 'Slovakia', 'Banska Bystrica Region', 'Velky Krtis', 'Velky Krtis Restaurants', 'Adub']","Adub","Unclaimed",4.5,"October 12, 2020","A.H.Skultetyho, Velky Krtis Slovakia",48.20734,19.34293,"#1 of 5 Restaurants in Velky Krtis","#1 of 5 Restaurants in Velky Krtis",30,0,,,,,,"Reservations, Table Service","False","True",40,40,45,,18,7,2,1,2,"English (4), Dutch (2), Italian (1), Slovak (21), German (2)","g947978-d4283560","in rating","$$ - $$$",,4,26,21,"Restaurants",,,,0,"non-facebook","online",,,0,"http://adub.vkinfo.sk",0.207886634161696,"Open",
"g191277-d2232903","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Bangor', 'Bangor Restaurants', 'Nelsons Restaurant']","Nelsons Restaurant","Unclaimed",3.5,"October 20, 2021","18-20 Quay Street Marine Court Hotel, Bangor BT20 5ED Northern Ireland",54.66427,-5.6665,"#54 of 75 Restaurants in Bangor","#54 of 75 Restaurants in Bangor",48,0,0,,,"Lunch, Dinner",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service","False","True",35,35,35,30,15,10,7,6,10,"English (48)","g191277-d2232903","in rating","$$ - $$$",,48,0,48,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.marinecourthotel.net/dining/",0.71483196830377,"Open","Renamed to Nelsons Bistro."
