"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type","website","last_update","facebook_text","description","fb_last_update_year","website_type","website_status","fb_rating","fb_reviews","fb_followers","restaurant_link","rand","Open\Closed","Comment"
"g186470-d3229799","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'The Beijing Restaurant']","The Beijing Restaurant","Unclaimed",3,"September 10, 2022","341 Albertbridge Road, Belfast BT5 4PY Northern Ireland",54.59703,-5.89538,"#534 of 689 Restaurants in Belfast","#86 of 102 Asian in Belfast",58,0,0,,"Chinese, Asian","Lunch",,"Seating, Table Service, Delivery, Takeout, Reservations, Wheelchair Accessible, Serves Alcohol","False","True",40,30,40,30,19,11,6,4,18,"English (58)","g186470-d3229799","in rating","$","Chinese, Asian",58,0,58,"Restaurants","http://www.beijingchineserestaurant.co.uk/",,,,0,"non-facebook","unavailable",,,0,"g186470-d3229799",0.536930826958269,"Open",
"g658263-d9750194","['Europe', 'Bulgaria', 'Blagoevgrad Province', 'Razlog', 'Razlog Restaurants', 'Hotel Papi']","Hotel Papi","Unclaimed",4,"November 23, 2022","Ulica Sheynovo 7 Floor 1 & 2, Razlog 2760 Bulgaria",41.88481,23.465475,"#2 of 20 Restaurants in Razlog","#1 of 2 Pizza in Razlog",45,0,,,"Pizza, European, Italian","Lunch, Dinner","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Table Service","False","True",45,40,45,,17,24,1,2,1,"Greek (3), Hebrew (1), English (37), French (1), Russian (2), Turkish (1)","g658263-d9750194","in rating","$$ - $$$","Italian, Pizza, European",37,8,0,"Restaurants","http://hotel-papi.com",,,,0,"non-facebook","unavailable",,,0,"g658263-d9750194",0.529379008570686,"Open","Name doesn’t exactly match, but that’s the same place."
"g294452-d10748592","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Forno Cipollini']","Forno Cipollini","Unclaimed",3.5,"September 27, 2022","ul.Oborishte 36A, Sofia 1504 Bulgaria",42.69389,23.345278,"#526 of 1,226 Restaurants in Sofia","#75 of 153 Pizza in Sofia",89,0,,,"Italian, Pizza, European","Dinner, Lunch","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service","False","True",40,35,35,,33,20,9,9,18,"Spanish (1), Italian (6), German (2), Russian (1), Hebrew (1), English (76), Portuguese (1), Turkish (1)","g294452-d10748592","in rating","$$ - $$$","Italian, Pizza, European",76,13,0,"Restaurants","http://forno.bg/en/",,,,0,"non-facebook","unavailable",,,0,"g294452-d10748592",0.814407744444907,"Open",
"g186470-d7990445","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Monico']","Monico","Claimed",3.5,"September 12, 2022","17 Lombard Street, Belfast BT1 1RB Northern Ireland",54.599976,-5.929192,"#401 of 689 Restaurants in Belfast","#401 of 689 Restaurants in Belfast",51,0,0,,"Irish, Bar, British, Pub","Brunch, Lunch, Dinner","Vegetarian Friendly","Seating, Television, Highchairs Available, Serves Alcohol, Reservations, Table Service","True","True",45,40,50,,25,9,3,3,11,"English (50), Italian (1)","g186470-d7990445","in rating","$$ - $$$","Irish, Bar, British",50,1,50,"Restaurants","http://www.monicobars.com",,,,0,"non-facebook","unavailable",,,0,"g186470-d7990445",0.509508208371699,"Open",
"g1200567-d1408964","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Hillsborough', 'Hillsborough Restaurants', 'Revivals']","Revivals","Claimed",3,"June 28, 2022","41A Old Coach Road, Hillsborough BT26 6PB Northern Ireland",54.45051,-6.09612,"#11 of 14 Restaurants in Hillsborough","#2 of 2 Indian in Hillsborough",126,0,0,,"Indian, Balti","Dinner, Late Night",,"Takeout, Reservations, Seating, Serves Alcohol, Full Bar, Table Service","True","True",30,35,30,25,47,19,8,11,41,"Spanish (1), English (125)","g1200567-d1408964","in rating","$$ - $$$","Indian, Balti",125,1,125,"Restaurants",,,,,0,"no_website","no_website",,,0,"g1200567-d1408964",0.588995710248128,"Open",
"g274925-d9723385","['Europe', 'Slovakia', 'Banska Bystrica Region', 'Brezno', 'Brezno Restaurants', 'ELF Restaurant']","ELF Restaurant","Unclaimed",4.5,"December 29, 2022","Nám. M. R. Štefánika 41/49, Brezno 977 01 Slovakia",48.805157,19.642296,"#1 of 7 Restaurants in Brezno","#1 of 2 Central European in Brezno",49,0,,,"European, Central European","Lunch, Dinner","Vegetarian Friendly","Reservations, Seating, Table Service, Wheelchair Accessible","True","True",45,40,45,,31,11,0,5,2,"Slovak (33), French (1), English (11), Hebrew (1), Italian (1), German (1), Dutch (1)","g274925-d9723385","in rating","$$ - $$$","European, Central European, Vegetarian Friendly",11,38,33,"Restaurants","http://www.restauraciaelf.sk/",,,,0,"non-facebook","unavailable",,,0,"g274925-d9723385",0.197225454961881,"Open",
"g777139-d14930117","['Europe', 'Finland', 'Northern Ostrobothnia', 'Kalajoki', 'Kalajoki Restaurants', ""Henry's Saloon""]","Henry's Saloon","Claimed",4,"July 4, 2022","Kalakuja 2, Kalajoki 85100 Finland",64.23111,23.809935,"#3 of 17 Restaurants in Kalajoki","#1 of 4 Pizza in Kalajoki",54,0,0,"₪30 - ₪65","American, Pizza, Contemporary, Pub","Lunch, Dinner",,"Takeout, Seating, Accepts Credit Cards, Table Service, Reservations","True","True",45,40,45,,27,11,6,5,5,"Norwegian (1), English (8), German (1), Finnish (44)","g777139-d14930117","in rating","$$ - $$$","American, Pizza, Contemporary",8,46,44,"Restaurants","http://henryssaloon.fi/",,,,0,"non-facebook","unavailable",,,0,"g777139-d14930117",0.305247109150514,"Open",
"g295392-d4783428","['Europe', 'Bulgaria', 'Varna Province', 'Varna', 'Varna Restaurants', 'Midena Kashta']","Midena Kashta","Unclaimed",4,"August 19, 2022","Beach alley, Varna 9000 Bulgaria",43.206047,27.931871,"#88 of 294 Restaurants in Varna","#55 of 121 European in Varna",44,0,,,"Seafood, Mediterranean, European","Lunch, Dinner",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service","False","True",35,35,35,,16,13,7,5,3,"Norwegian (1), Spanish (1), Swedish (1), Italian (2), German (2), Russian (10), English (26), French (1)","g295392-d4783428","in rating","$$ - $$$","Seafood, Mediterranean, European",26,18,0,"Restaurants",,,,,0,"no_website","no_website",,,0,"g295392-d4783428",0.539370717713609,"Open","Likely closes for winter"
"g209950-d8630062","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Newtownabbey', 'Newtownabbey Restaurants', 'Trinity']","Trinity","Unclaimed",4,"February 9, 2022","281 Antrim Road, Newtownabbey BT36 7QN Northern Ireland",54.670662,-5.956926,"#9 of 37 Restaurants in Newtownabbey","#7 of 24 British in Newtownabbey",137,0,0,,"European, British","Breakfast, Dinner, Brunch, Lunch","Vegetarian Friendly, Gluten Free Options","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service","False","True",45,45,45,,94,15,8,7,13,"English (137)","g209950-d8630062","in rating","$$ - $$$","European, British, Vegetarian Friendly",137,0,137,"Restaurants","http://www.trinity-glengormley.com/",,,,0,"non-facebook","unavailable",,,0,"g209950-d8630062",0.612400394398719,"Open","Closed as a restaurant, only works as a bar."
"g274924-d11621568","['Europe', 'Slovakia', 'Bratislava Region', 'Bratislava', 'Bratislava Restaurants', 'Kontajner Na Riviere 2']","Kontajner Na Riviere 2","Claimed",3.5,"May 8, 2022","Na Riviere 2 Karlova Ves, Bratislava 84104 Slovakia",48.148556,17.063745,"#395 of 1,028 Restaurants in Bratislava","#99 of 188 Cafe in Bratislava",37,0,,"₪13 - ₪38","Japanese, European, Cafe, Central European","Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly","Reservations, Outdoor Seating, Seating, Table Service","True","True",35,35,35,,14,6,9,2,6,"English (16), Slovak (18), German (1), Czech (2)","g274924-d11621568","in rating","$$ - $$$","Japanese, Cafe, European",16,21,18,"Restaurants","http://kontajnernariviere.sk/",,,,0,"non-facebook","unavailable",,,0,"g274924-d11621568",0.658607204211876,"Open",
