id,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,id_destination,status,price_category,top_tags,English,non-English,local,type,website,last_update,facebook_text,description,fb_last_update_year,website_type,website_status,fb_rating,fb_reviews,fb_followers,rand,Open-closed,Comment
g1393505-d4451975,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Ballymoney', 'Ballymoney Restaurants', ""Montys' ballymoney""]",Montys' ballymoney,Unclaimed,4.5,"August 5, 2020","23-25 Main Street, Ballymoney BT53 6AN Northern Ireland",55.069862,-6.516692,#8 of 29 Restaurants in Ballymoney,#8 of 29 Restaurants in Ballymoney,49,0,0,,British,"Breakfast, Lunch, Dinner","Vegetarian Friendly, Vegan Options","Seating, Wheelchair Accessible, Takeout, Highchairs Available",False,True,45,45,45,40,37,5,1,1,5,English (49),g1393505-d4451975,in rating,$$ - $$$,"British, Vegetarian Friendly, Vegan Options",49,0,49,Restaurants,,,,,0,no_website,no_website,,,0,0.275586194125935,Closed,used google.maps
g189934-d14183763,"['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'MS Louisiana']",MS Louisiana,Claimed,3.5,"November 10, 2019","Hietalahdenranta 14 Hietalahti Port, Helsinki 00180 Finland",60.16061,24.92592,"#570 of 1,407 Restaurants in Helsinki",#25 of 77 American in Helsinki,39,0,0,?69 - ?172,"Grill, American","Lunch, Dinner, Late Night, Drinks",,"Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Reservations, Digital Payments, Table Service",True,True,20,30,20,,23,3,2,2,9,"English (20), Finnish (19)",g189934-d14183763,in rating,$$ - $$$,"American, Grill",20,19,19,Restaurants,http://www.mslouisiana.fi,,,,0,non-facebook,unavailable,,,0,0.41182974493131,Closed,
g303647-d2456909,"['Europe', 'Bulgaria', 'Sofia Region', 'Borovets', 'Borovets Restaurants', 'Derby - Kaminata']",Derby - Kaminata,Unclaimed,4.5,"March 8, 2020","Borovetz near hotel Rila,between Francos and The Black cat, Borovets Bulgaria",42.26983,23.60794,#18 of 58 Restaurants in Borovets,#18 of 58 Restaurants in Borovets,115,0,,,"Bar, International","Breakfast, Lunch, Dinner, Late Night, Drinks",Vegetarian Friendly,"Seating, Serves Alcohol, Full Bar, Reservations, Television, Table Service, Live Music",False,False,45,45,45,50,79,29,5,1,1,"German (1), Russian (3), English (111)",g303647-d2456909,in rating,$$ - $$$,"Bar, International, Vegetarian Friendly",111,4,0,Restaurants,,,,,0,no_website,no_website,,,0,0.454835070064291,Closed,found old photos on google.maps
g189934-d8380074,"['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Hernesaaren Ranta']",Hernesaaren Ranta,Claimed,3.5,"June 21, 2019","Hernesaarenranta 6, Helsinki 00150 Finland",60.148197,24.926619,"#578 of 1,407 Restaurants in Helsinki","#578 of 1,407 Restaurants in Helsinki",48,0,0,?34 - ?129,Bar,,,"Reservations, Outdoor Seating, Parking Available, Street Parking, Free off-street parking, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Seating, Serves Alcohol, Accepts Credit Cards",False,True,35,35,30,,6,25,7,8,2,"Portuguese (1), Finnish (17), Swedish (3), English (27)",g189934-d8380074,in rating,$$ - $$$,Bar,27,21,17,Restaurants,http://www.hernesaarenranta.fi,,,,0,non-facebook,unavailable,,,0,0.398639511084184,Closed,Looks like the whole area was demolished and something else is being buildt
g1477871-d8361512,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belcoo', 'Belcoo Restaurants', ""Jack's""]",Jack's,Unclaimed,4.5,"January 12, 2020","15 Main Street, Belcoo BT93 5FB Northern Ireland",54.29624,-7.87193,#1 of 2 Restaurants in Belcoo,#1 of 1 Pub in Belcoo,78,0,0,,"Irish, Bar, British, Pub","Lunch, Dinner, Brunch",Vegetarian Friendly,"Seating, Highchairs Available, Serves Alcohol, Full Bar, Wheelchair Accessible, Table Service",False,True,45,45,45,,56,13,8,1,0,"English (77), French (1)",g1477871-d8361512,in rating,$,"Irish, Bar, British",77,1,77,Restaurants,https://www.facebook.com/jacksbarbelcoo,,no_posts,"About
See all
Great Drink, Great Staff & Great Nights Craic!
All parties and events catered for at Jack's, contact Paul or Stevie for more details.
15 people like this
18 people follow this
http://www.jacksbarbelcoo.uk/
+44 28 6638 6228
Price range
  · $
Bar",0,facebook,online,,,0,0.632538061123341,Closed,
g1025615-d9589328,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Chevermeto of Bay Panayot']",Chevermeto of Bay Panayot,Unclaimed,4,"March 9, 2021","Pamporovo 1, Pamporovo 4870 Bulgaria",41.657238,24.695534,#6 of 24 Restaurants in Pamporovo,#6 of 24 Restaurants in Pamporovo,63,0,,?20 - ?402,"Barbecue, Eastern European, International","Dinner, Lunch",Vegetarian Friendly,"Reservations, Seating, Serves Alcohol, Takeout, Highchairs Available, Table Service",False,True,45,45,45,,35,19,1,3,5,"Spanish (2), Swedish (1), Russian (9), English (33), Turkish (17), French (1)",g1025615-d9589328,in rating,$$ - $$$,"International, Barbecue, Eastern European",33,30,0,Restaurants,http://chevermetobg.com/,,,,0,non-facebook,unavailable,,,0,0.078643477987498,Closed,At least temporarily closed. Looks like it was renamed also.
g799606-d7911695,"['Europe', 'Slovakia', 'Banska Bystrica Region', 'Zvolen', 'Zvolen Restaurants', 'Cinska Restauracia Panda']",Cinska Restauracia Panda,Unclaimed,3.5,"February 28, 2021","Kuzmanyho Nabrezie, Zvolen 960 01 Slovakia",48.57932,19.13186,#26 of 40 Restaurants in Zvolen,#1 of 1 Chinese in Zvolen,30,0,,,"Chinese, Sushi",Dinner,,"Reservations, Seating",False,True,30,30,35,,7,6,9,4,4,"Russian (1), English (6), Slovak (21), French (2)",g799606-d7911695,in rating,$,"Chinese, Sushi",6,24,21,Restaurants,,,,,0,no_website,no_website,,,0,0.990470424527302,Open,Wrong address – found by googling
g226906-d3813755,"['Europe', 'Finland', 'Uusimaa', 'Vantaa', 'Vantaa Restaurants', 'Tamarin']",Tamarin,Unclaimed,4,"February 18, 2020","Vantaanportinkatu 3 Shopping Center Jumbo, Vantaa 01510 Finland",60.29357,25.035278,#21 of 166 Restaurants in Vantaa,#4 of 23 Asian in Vantaa,45,0,0,,"Asian, Thai","Lunch, Dinner","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Seating, Table Service",True,True,40,40,40,,10,24,8,2,1,"English (20), Finnish (25)",g226906-d3813755,in rating,$$ - $$$,"Asian, Thai, Vegetarian Friendly",20,25,25,Restaurants,http://tamarin.fi/ravintolat/jumbo/,,,,0,non-facebook,unavailable,,,0,0.208573037525639,Closed,Wrong address. Google maps says permanently closed.
g295391-d10319662,"['Europe', 'Bulgaria', 'Plovdiv Province', 'Plovdiv', 'Plovdiv Restaurants', 'BeerSTOP Pub']",BeerSTOP Pub,Claimed,4.5,"March 2, 2020","Otec Paisii Street 16, Plovdiv 4000 Bulgaria",42.145927,24.749615,#59 of 310 Restaurants in Plovdiv,#3 of 29 Pub in Plovdiv,30,0,,?22 - ?65,"Bar, International, Pub, European",Dinner,,"Serves Alcohol, Reservations, Seating",True,True,45,50,45,,22,7,0,1,0,"French (2), Turkish (2), Italian (2), Russian (1), English (23), Dutch (1)",g295391-d10319662,in rating,$$ - $$$,"Bar, International, European",23,8,0,Restaurants,http://www.facebook.com/beerstopplovdiv,"June 13, 2020",,"Intro
??? 150 ???? ?????????? ????, 6 ???? ??????? ???? ? ??????
Page · Pub
+359 88 903 1550
some@email.com
Rating · 4.5 (218 Reviews)",2020,facebook,online,4.5,218,1200,0.775892400648445,Closed,
g295391-d3184242,"['Europe', 'Bulgaria', 'Plovdiv Province', 'Plovdiv', 'Plovdiv Restaurants', 'Zlatnata Krusha']",Zlatnata Krusha,Claimed,4,"April 23, 2021","Otets Paisiy Street 30, Plovdiv 4000 Bulgaria",42.14473,24.750343,#89 of 310 Restaurants in Plovdiv,#55 of 114 European in Plovdiv,40,0,,?17 - ?106,"Pizza, Mediterranean, European","Lunch, Drinks, Dinner",Vegetarian Friendly,"Takeout, Reservations, Seating, Serves Alcohol, Outdoor Seating, Table Service",True,True,35,40,35,35,13,14,9,0,4,"Greek (1), Portuguese (1), Spanish (2), Swedish (1), Italian (2), Dutch (1), English (28), Russian (2), German (2)",g295391-d3184242,in rating,$$ - $$$,"Pizza, Mediterranean, European",28,12,0,Restaurants,,,,,0,no_website,no_website,,,0,0.0221284136641771,Closed,
