id,actual_url,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,price_range_and_top_tags,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,selected_language
g1025615-d10148703,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d10148703-Reviews-Enjoy_Tea_House-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Enjoy Tea House']",Enjoy Tea House, Unclaimed,4.5,"March 2, 2020","Chepelare, Pamporovo Bulgaria",41.65519,24.68011,#9 of 24 Restaurants in Pamporovo,#4 of 8 Pub in Pamporovo,"['$$ - $$$', 'Bar', 'Pub']",(29),,,,"Bar, Pub","Breakfast, Brunch, Lunch",,"Seating, Table Service",+ Add hours,,,bubble_50,bubble_50,bubble_50,,21,5.0,1.0,0.0,2.0,"{'English (23)', 'Turkish (6)', 'All languages'}",ALL
g1025615-d10225538,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d10225538-Reviews-Restaurant_The_Castle_Hall_Excalibur_The_Terrace-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Restaurant The Castle, Hall Excalibur & The Terrace']","Restaurant The Castle, Hall Excalibur & The Terrace", Claimed,4.0,"March 25, 2023","The Castle Hotel, Pamporovo 4870 Bulgaria",41.645412,24.695192,#11 of 24 Restaurants in Pamporovo,#3 of 5 International in Pamporovo,"['$$ - $$$', 'International', 'Barbecue', 'European']",(40),,,,"International, European, Barbecue","Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Seating, Accepts Credit Cards, Table Service, Delivery, Television, Highchairs Available, Serves Alcohol, Free Wifi, Playgrounds, Family style", Closed now:  See all hours,tel:+359 88 566 0066,http://www.pamporovocastle.com,bubble_40,bubble_40,bubble_40,,24,4.0,2.0,3.0,7.0,"{'English (37)', 'French (1)', 'All languages', 'Turkish (2)'}",ALL
g1025615-d11815623,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d11815623-Reviews-Restaurant_FIS-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Restaurant FIS']",Restaurant FIS, Unclaimed,3.5,"March 4, 2020","Pamporovo Studenets, Pamporovo 4870 Bulgaria",41.64281,24.68951,#15 of 24 Restaurants in Pamporovo,#15 of 24 Restaurants in Pamporovo,['$$ - $$$'],(28),,,,,"Breakfast, Lunch, Dinner",,Seating, Closed now:  See all hours,tel:+359 87 723 7788,,,,,,9,10.0,4.0,0.0,5.0,"{'English (16)', 'Greek (3)', 'Russian (4)', 'Turkish (5)', 'All languages'}",ALL
g1025615-d12195275,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d12195275-Reviews-Golden_Eagle-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Golden Eagle']",Golden Eagle, Claimed,4.0,"February 16, 2022","Snezhanka pick, Pamporovo 4870 Bulgaria",41.63593,24.679176,#16 of 24 Restaurants in Pamporovo,#16 of 24 Restaurants in Pamporovo,['$$ - $$$'],(24),,,,,Brunch,,"Reservations, Seating, Table Service",+ Add hours,tel:+359 89 940 3812,http://www.facebook.com/pg/Alexs-Pub-1-170137659703956/photos/,bubble_35,bubble_35,bubble_40,,8,8.0,4.0,2.0,2.0,"{'Turkish (3)', 'English (20)', 'Greek (1)', 'All languages'}",ALL
g1025615-d12267716,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d12267716-Reviews-The_White_House-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White House']",The White House, Unclaimed,2.5,"July 1, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.651794,24.694387,#24 of 24 Restaurants in Pamporovo,#6 of 6 Eastern European in Pamporovo,"['$$ - $$$', 'Eastern European']",(52),,,,Eastern European,[],,"Seating, Serves Alcohol, Table Service, Reservations",+ Add hours,tel:+359 87 713 3955,http://www.facebook.com/THE-WHITE-HOUSE-%D0%91%D1%8F%D0%BB%D0%B0%D1%82%D0%B0-%D0%9A%D1%8A%D1%89%D0%B0-157607301000424/,bubble_30,bubble_30,bubble_20,,11,7.0,2.0,6.0,26.0,"{'Dutch (1)', 'English (35)', 'Greek (5)', 'French (4)', 'Turkish (5)', 'Russian (2)', 'All languages'}",ALL
g1025615-d13385228,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d13385228-Reviews-Neptun_Winter_Home-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Neptun Winter Home']",Neptun Winter Home, Claimed,4.5,"March 14, 2023","H-L Perelik Kk, Pamporovo 4870 Bulgaria",41.658222,24.697145,#3 of 24 Restaurants in Pamporovo,#3 of 24 Restaurants in Pamporovo,"['$$ - $$$', 'Steakhouse', 'Seafood', 'International']",(96),,,₪11 - ₪119,"Steakhouse, Seafood, International, Mediterranean, Barbecue, European","['Breakfast', 'Lunch', 'Dinner', 'Brunch']","Vegetarian Friendly, Vegan Options, Gluten Free Options","['Reservations', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Table Service']", Closed now:  See all hours,tel:+359 87 732 6565,https://www.facebook.com/NeptunWinterHome/,bubble_45,bubble_50,bubble_50,,79,8.0,4.0,1.0,4.0,"{'Spanish (1)', 'Turkish (7)', 'Swedish (1)', 'Greek (5)', 'English (80)', 'Russian (2)', 'All languages'}",ALL
g1025615-d13393861,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d13393861-Reviews-Rodopski_Chanove_2-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Rodopski Chanove 2']",Rodopski Chanove 2, Unclaimed,2.5,"February 2, 2023","P-т.Родопски Чанове, срещу х-л.Мургавец, Pamporovo 4870 Bulgaria",41.655827,24.69945,#23 of 24 Restaurants in Pamporovo,#23 of 24 Restaurants in Pamporovo,"['$$ - $$$', 'Pizza', 'Barbecue', 'Eastern European']",(7),,,₪33 - ₪174,"Pizza, Barbecue, Eastern European",[],,[],+ Add hours,tel:+359 30 958 805,"http://www.chanove2.com"",""email"":""uzunov.emil@gmail.com",,,,,2,0.0,1.0,0.0,4.0,"{'Turkish (2)', 'English (5)', 'All languages'}",ALL
g1025615-d1450405,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d1450405-Reviews-Ranch-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Ranch']",Ranch, Unclaimed,5.0,"May 28, 2009","Foot of 3-man chair lift Ski Centre 2, Pamporovo 4870 Bulgaria",,,#22 of 24 Restaurants in Pamporovo,#1 of 1 Diner in Pamporovo,['Diner'],(1),,,,Diner,[],,[],+ Add hours,,,,,,,1,0.0,0.0,0.0,0.0,"{'English (1)', 'All languages'}",ALL
g1025615-d15550930,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d15550930-Reviews-Big_Food_ski_restaurant_Pamporovo-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Big Food ski restaurant Pamporovo']",Big Food ski restaurant Pamporovo, Claimed,4.0,"January 6, 2020","Str. Snezhanka Tower Road, Kartala, Ski Restaurant Big Food Kartala, Pamporovo 4870 Bulgaria",41.637165,24.689587,#19 of 24 Restaurants in Pamporovo,#7 of 8 Barbecue in Pamporovo,"['$$ - $$$', 'Pizza', 'Cafe', 'Barbecue']",(4),,,₪21 - ₪64,"Pizza, Cafe, Barbecue, Turkish, Soups","Breakfast, Lunch, Brunch, Drinks",,"['Reservations', 'Outdoor Seating', 'Seating', 'Television', 'Serves Alcohol', 'Wine and Beer', 'Free Wifi', 'Accepts Credit Cards']", Closed now:  See all hours,tel:+359 88 734 8823,"http://www.facebook.com/Big-Food-511147769061746/"",""email"":""bigfood@abv.bg",,,,,2,1.0,0.0,0.0,1.0,"{'English (4)', 'All languages'}",ALL
g1025615-d15601322,['https://www.tripadvisor.com/Restaurant_Review-g1025615-d15601322-Reviews-The_Pub-Pamporovo_Smolyan_Province.html'],"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The Pub']",The Pub, Unclaimed,3.5,"February 9, 2020","Hotel Perelik, Pamporovo 4870 Bulgaria",41.65839,24.69767,#21 of 24 Restaurants in Pamporovo,#21 of 24 Restaurants in Pamporovo,"['Irish', 'Bar', 'International', 'British']",(2),,,,"Irish, Bar, International, British, Pub","Lunch, Dinner",,[], Open now: 11:00 AM - 06:00 AM,tel:+359 87 733 9373,https://www.facebook.com/thepubpamporovo,,,,,0,1.0,1.0,0.0,0.0,"{'English (2)', 'All languages'}",ALL
