id,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,status,id_destination,price_category,top_tags,type,English,non-English,local
g1025615-d10148703,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Enjoy Tea House']",Enjoy Tea House,Unclaimed,4.5,"March 2, 2020","Chepelare, Pamporovo Bulgaria",41.65519,24.68011,#9 of 24 Restaurants in Pamporovo,#4 of 8 Pub in Pamporovo,29,0,,,"Bar, Pub","Breakfast, Brunch, Lunch",,"Seating, Table Service",False,False,,50,50,50,,21,5.0,1.0,0.0,2.0,"English (23), Turkish (6)",in rating,g1025615-d10148703,$$ - $$$,"Bar, Pub",Restaurants,23,6,0
g1025615-d10225538,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Restaurant The Castle, Hall Excalibur & The Terrace']","Restaurant The Castle, Hall Excalibur & The Terrace",Claimed,4.0,"March 25, 2023","The Castle Hotel, Pamporovo 4870 Bulgaria",41.645412,24.695192,#11 of 24 Restaurants in Pamporovo,#3 of 5 International in Pamporovo,40,0,,,"International, European, Barbecue","Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Seating, Accepts Credit Cards, Table Service, Delivery, Television, Highchairs Available, Serves Alcohol, Free Wifi, Playgrounds, Family style",True,True,http://www.pamporovocastle.com,40,40,40,,24,4.0,2.0,3.0,7.0,"English (37), French (1), Turkish (2)",in rating,g1025615-d10225538,$$ - $$$,"International, Barbecue, European",Restaurants,37,3,0
g1025615-d11815623,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Restaurant FIS']",Restaurant FIS,Unclaimed,3.5,"March 4, 2020","Pamporovo Studenets, Pamporovo 4870 Bulgaria",41.64281,24.68951,#15 of 24 Restaurants in Pamporovo,#15 of 24 Restaurants in Pamporovo,28,0,,,,"Breakfast, Lunch, Dinner",,Seating,True,True,,,,,,9,10.0,4.0,0.0,5.0,"English (16), Greek (3), Russian (4), Turkish (5)",in rating,g1025615-d11815623,$$ - $$$,,Restaurants,16,12,0
g1025615-d12195275,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Golden Eagle']",Golden Eagle,Claimed,4.0,"February 16, 2022","Snezhanka pick, Pamporovo 4870 Bulgaria",41.63593,24.679176,#16 of 24 Restaurants in Pamporovo,#16 of 24 Restaurants in Pamporovo,24,0,,,,Brunch,,"Reservations, Seating, Table Service",False,True,http://www.facebook.com/pg/Alexs-Pub-1-170137659703956/photos/,35,35,40,,8,8.0,4.0,2.0,2.0,"Turkish (3), English (20), Greek (1)",in rating,g1025615-d12195275,$$ - $$$,,Restaurants,20,4,0
g1025615-d12267716,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White House']",The White House,Unclaimed,2.5,"July 1, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.651794,24.694387,#24 of 24 Restaurants in Pamporovo,#6 of 6 Eastern European in Pamporovo,52,0,,,Eastern European,,,"Seating, Serves Alcohol, Table Service, Reservations",False,True,http://www.facebook.com/THE-WHITE-HOUSE-%D0%91%D1%8F%D0%BB%D0%B0%D1%82%D0%B0-%D0%9A%D1%8A%D1%89%D0%B0-157607301000424/,30,30,20,,11,7.0,2.0,6.0,26.0,"Dutch (1), English (35), Greek (5), French (4), Turkish (5), Russian (2)",in rating,g1025615-d12267716,$$ - $$$,Eastern European,Restaurants,35,17,0
g1025615-d13385228,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Neptun Winter Home']",Neptun Winter Home,Claimed,4.5,"March 14, 2023","H-L Perelik Kk, Pamporovo 4870 Bulgaria",41.658222,24.697145,#3 of 24 Restaurants in Pamporovo,#3 of 24 Restaurants in Pamporovo,96,0,,₪11 - ₪119,"Steakhouse, Seafood, International, Mediterranean, Barbecue, European","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",True,True,https://www.facebook.com/NeptunWinterHome/,45,50,50,,79,8.0,4.0,1.0,4.0,"Spanish (1), Turkish (7), Swedish (1), Greek (5), English (80), Russian (2)",in rating,g1025615-d13385228,$$ - $$$,"Steakhouse, Seafood, International",Restaurants,80,16,0
g1025615-d13393861,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Rodopski Chanove 2']",Rodopski Chanove 2,Unclaimed,2.5,"February 2, 2023","P-т.Родопски Чанове, срещу х-л.Мургавец, Pamporovo 4870 Bulgaria",41.655827,24.69945,#23 of 24 Restaurants in Pamporovo,#23 of 24 Restaurants in Pamporovo,7,0,,₪33 - ₪174,"Pizza, Barbecue, Eastern European",,,,False,True,http://www.chanove2.com,,,,,2,0.0,1.0,0.0,4.0,"Turkish (2), English (5)",in rating,g1025615-d13393861,$$ - $$$,"Pizza, Barbecue, Eastern European",Restaurants,5,2,0
g1025615-d1450405,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Ranch']",Ranch,Unclaimed,5.0,"May 28, 2009","Foot of 3-man chair lift Ski Centre 2, Pamporovo 4870 Bulgaria",,,#22 of 24 Restaurants in Pamporovo,#1 of 1 Diner in Pamporovo,1,0,,,Diner,,,,False,False,,,,,,1,0.0,0.0,0.0,0.0,English (1),in rating,g1025615-d1450405,,Diner,Restaurants,1,0,0
g1025615-d15550930,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Big Food ski restaurant Pamporovo']",Big Food ski restaurant Pamporovo,Claimed,4.0,"January 6, 2020","Str. Snezhanka Tower Road, Kartala, Ski Restaurant Big Food Kartala, Pamporovo 4870 Bulgaria",41.637165,24.689587,#19 of 24 Restaurants in Pamporovo,#7 of 8 Barbecue in Pamporovo,4,0,,₪21 - ₪64,"Pizza, Cafe, Barbecue, Turkish, Soups","Breakfast, Lunch, Brunch, Drinks",,"Reservations, Outdoor Seating, Seating, Television, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards",True,True,http://www.facebook.com/Big-Food-511147769061746/,,,,,2,1.0,0.0,0.0,1.0,English (4),in rating,g1025615-d15550930,$$ - $$$,"Pizza, Cafe, Barbecue",Restaurants,4,0,0
g1025615-d15601322,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The Pub']",The Pub,Unclaimed,3.5,"February 9, 2020","Hotel Perelik, Pamporovo 4870 Bulgaria",41.65839,24.69767,#21 of 24 Restaurants in Pamporovo,#21 of 24 Restaurants in Pamporovo,2,0,,,"Irish, Bar, International, British, Pub","Lunch, Dinner",,,True,True,https://www.facebook.com/thepubpamporovo,,,,,0,1.0,1.0,0.0,0.0,English (2),in rating,g1025615-d15601322,,"Irish, Bar, International, British",Restaurants,2,0,0
