"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local","website","is_available","homesite_user_name","fb_last_update","facebook_text","subscribers","description","fb_last_update_year","website_type","website_status","is_available1","is_available2","fb_rating","fb_reviews","fb_followers"
"g1025615-d10148703","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Enjoy Tea House']","Enjoy Tea House","Unclaimed",4.5,"March 2, 2020","Chepelare, Pamporovo Bulgaria",41.65519,24.68011,"#9 of 24 Restaurants in Pamporovo","#4 of 8 Pub in Pamporovo",29,0,,,"Bar, Pub","Breakfast, Brunch, Lunch",,"Seating, Table Service","False","False",50,50,50,,21,5,1,0,2,"English (23), Turkish (6)","in rating","g1025615-d10148703","$$ - $$$","Bar, Pub","Restaurants",23,6,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d10225538","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Restaurant The Castle, Hall Excalibur & The Terrace']","Restaurant The Castle, Hall Excalibur & The Terrace","Claimed",4,"March 25, 2023","The Castle Hotel, Pamporovo 4870 Bulgaria",41.645412,24.695192,"#11 of 24 Restaurants in Pamporovo","#3 of 5 International in Pamporovo",40,0,,,"International, European, Barbecue","Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Seating, Accepts Credit Cards, Table Service, Delivery, Television, Highchairs Available, Serves Alcohol, Free Wifi, Playgrounds, Family style","True","True",40,40,40,,24,4,2,3,7,"English (37), French (1), Turkish (2)","in rating","g1025615-d10225538","$$ - $$$","International, Barbecue, European","Restaurants",37,3,0,"http://www.pamporovocastle.com","Комплекс Замъка Пампорово – Хотелски Комплекс Замъка, пампорово апартаменти, Пампорово ски, ПАМПОРОВО, апартаменти, хотел, ски, туризъм, продажба апартаменти, хотел пампорово, ски хотел","Комплекс Замъка Пампорово – Хотелски Комплекс Замъка, пампорово апартаменти, Пампорово ски, ПАМПОРОВО, апартаменти, хотел, ски, туризъм, продажба апартаменти, хотел пампорово, ски хотел","nan",,,,0,"non-facebook","online","True","True",,,0
"g1025615-d11815623","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Restaurant FIS']","Restaurant FIS","Unclaimed",3.5,"March 4, 2020","Pamporovo Studenets, Pamporovo 4870 Bulgaria",41.64281,24.68951,"#15 of 24 Restaurants in Pamporovo","#15 of 24 Restaurants in Pamporovo",28,0,,,,"Breakfast, Lunch, Dinner",,"Seating","True","True",,,,,9,10,4,0,5,"English (16), Greek (3), Russian (4), Turkish (5)","in rating","g1025615-d11815623","$$ - $$$",,"Restaurants",16,12,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d12195275","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Golden Eagle']","Golden Eagle","Claimed",4,"February 16, 2022","Snezhanka pick, Pamporovo 4870 Bulgaria",41.63593,24.679176,"#16 of 24 Restaurants in Pamporovo","#16 of 24 Restaurants in Pamporovo",24,0,,,,"Brunch",,"Reservations, Seating, Table Service","False","True",35,35,40,,8,8,4,2,2,"Turkish (3), English (20), Greek (1)","in rating","g1025615-d12195275","$$ - $$$",,"Restaurants",20,4,0,"http://www.facebook.com/pg/Alexs-Pub-1-170137659703956/photos/","account_exists","Alex's Pub at ski Center Malina",,"no_posts","1.8K followers • 15 following","Photos
More
Alex's Pub at ski Center Malina's Photos
Tagged photos
Albums",0,"facebook","online","True","True",,,1800
"g1025615-d12267716","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White House']","The White House","Unclaimed",2.5,"July 1, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.651794,24.694387,"#24 of 24 Restaurants in Pamporovo","#6 of 6 Eastern European in Pamporovo",52,0,,,"Eastern European",,,"Seating, Serves Alcohol, Table Service, Reservations","False","True",30,30,20,,11,7,2,6,26,"Dutch (1), English (35), Greek (5), French (4), Turkish (5), Russian (2)","in rating","g1025615-d12267716","$$ - $$$","Eastern European","Restaurants",35,17,0,"http://www.facebook.com/THE-WHITE-HOUSE-%D0%91%D1%8F%D0%BB%D0%B0%D1%82%D0%B0-%D0%9A%D1%8A%D1%89%D0%B0-157607301000424/","account_exists","The White House Pamporovo / Ресторант ""Бялата Къща"" Пампорово","December 13, 2022",,"661 likes • 675 followers","Intro
Български ресторант с традиционна кухня.
Page · Bulgarian Restaurant
thewhite_house@abv.bg
the-white-house-pamporovo.business.site
Price Range · $$$$",2022,"facebook","online","True","True",,,675
"g1025615-d13385228","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Neptun Winter Home']","Neptun Winter Home","Claimed",4.5,"March 14, 2023","H-L Perelik Kk, Pamporovo 4870 Bulgaria",41.658222,24.697145,"#3 of 24 Restaurants in Pamporovo","#3 of 24 Restaurants in Pamporovo",96,0,,"₪11 - ₪119","Steakhouse, Seafood, International, Mediterranean, Barbecue, European","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service","True","True",45,50,50,,79,8,4,1,4,"Spanish (1), Turkish (7), Swedish (1), Greek (5), English (80), Russian (2)","in rating","g1025615-d13385228","$$ - $$$","Steakhouse, Seafood, International","Restaurants",80,16,0,"https://www.facebook.com/NeptunWinterHome/","account_exists","Neptun winter home Pamporovo","March 14, 2023","She Say YES ! 
Neptun Winter Home
#pamporovo #bulgaria #uluda #ski #vito #kayak #borovets #bansko #pamporovoski #banskoski #nature #skiing #snowboarding #winter #bulgaristan #a #mountains #bursa #bursabansko #chepelare #chepelareski #kayakmerkezi #aski #chepelarekayak #snow #pamporovokayak #borovetsski #borovetskayak #akayak #smolyan","2.8K likes • 2.9K followers","Intro
resort Pamporovo hotel Perelik *****
Page · Barbecue Restaurant
pamporovo, Smolyan, Bulgaria
+359 87 732 6565
neptun-winter.com
Closed now
Dine-in · Outdoor seating · In-store pickup
Price Range · $$
Offers free Wi-Fi",2023,"facebook","online","True","True",,,2900
"g1025615-d13393861","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Rodopski Chanove 2']","Rodopski Chanove 2","Unclaimed",2.5,"February 2, 2023","P-т.Родопски Чанове, срещу х-л.Мургавец, Pamporovo 4870 Bulgaria",41.655827,24.69945,"#23 of 24 Restaurants in Pamporovo","#23 of 24 Restaurants in Pamporovo",7,0,,"₪33 - ₪174","Pizza, Barbecue, Eastern European",,,,"False","True",,,,,2,0,1,0,4,"Turkish (2), English (5)","in rating","g1025615-d13393861","$$ - $$$","Pizza, Barbecue, Eastern European","Restaurants",5,2,0,"http://www.chanove2.com","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1025615-d1450405","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Ranch']","Ranch","Unclaimed",5,"May 28, 2009","Foot of 3-man chair lift Ski Centre 2, Pamporovo 4870 Bulgaria",,,"#22 of 24 Restaurants in Pamporovo","#1 of 1 Diner in Pamporovo",1,0,,,"Diner",,,,"False","False",,,,,1,0,0,0,0,"English (1)","in rating","g1025615-d1450405",,"Diner","Restaurants",1,0,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d15550930","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Big Food ski restaurant Pamporovo']","Big Food ski restaurant Pamporovo","Claimed",4,"January 6, 2020","Str. Snezhanka Tower Road, Kartala, Ski Restaurant Big Food Kartala, Pamporovo 4870 Bulgaria",41.637165,24.689587,"#19 of 24 Restaurants in Pamporovo","#7 of 8 Barbecue in Pamporovo",4,0,,"₪21 - ₪64","Pizza, Cafe, Barbecue, Turkish, Soups","Breakfast, Lunch, Brunch, Drinks",,"Reservations, Outdoor Seating, Seating, Television, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards","True","True",,,,,2,1,0,0,1,"English (4)","in rating","g1025615-d15550930","$$ - $$$","Pizza, Cafe, Barbecue","Restaurants",4,0,0,"http://www.facebook.com/Big-Food-511147769061746/","account_exists","Big Food","October 30, 2022","НОВА ГОДИНА 2023 в апарт-хотел ""ФОРЕСТ НУК"" - Пампорово!
Предлагаме Ви пакети с включени:
 от 3 до 7 нощувки
 закуски
 веч… See more","435 likes • 442 followers","Intro
Бързо обслужване,добро качество и добра цена!
Page · Restaurant
Pamporovo, Smolyan, Bulgaria
+359 89 260 1600
reservation@forestnook.bg
forestnook-pamporovo.com
Price Range · $$
Rating · 4.4 (71 Reviews)",2022,"facebook","online","True","True",4.4,71,442
"g1025615-d15601322","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The Pub']","The Pub","Unclaimed",3.5,"February 9, 2020","Hotel Perelik, Pamporovo 4870 Bulgaria",41.65839,24.69767,"#21 of 24 Restaurants in Pamporovo","#21 of 24 Restaurants in Pamporovo",2,0,,,"Irish, Bar, International, British, Pub","Lunch, Dinner",,,"True","True",,,,,0,1,1,0,0,"English (2)","in rating","g1025615-d15601322",,"Irish, Bar, International, British","Restaurants",2,0,0,"https://www.facebook.com/thepubpamporovo","account_exists","The PUB","August 28, 2020","https://m.facebook.com/story.php?story_fbid=10221332810368472&id=1194570336","2.8K likes • 2.8K followers","Intro
we make friends
Page · Pub
Smolyan, Bulgaria
+359 87 733 9373
thepubbulgaria@gmail.com
Rating · 4.8 (136 Reviews)",2020,"facebook","online","True","True",4.8,136,2800
