"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local"
"g1016321-d1372364","['Europe', 'Finland', 'Northern Savonia', 'Nilsia', 'Nilsia Restaurants', 'Vanha Maatila']","Vanha Maatila","Unclaimed",4,"February 29, 2016","Rantalankuja, Nilsia Finland",63.26566,28.047316,"#2 of 4 Restaurants in Nilsia","#1 of 1 Diner in Nilsia",2,0,0,,"Diner",,,"Buffet","False","False","http://www.liinamaapalvelut.com/english/wanhamaatila.asp",,,,,0,2,0,0,0,"English (1), Finnish (1)","in rating","g1016321-d1372364",,"Diner","Restaurants",1,1,1
"g1016321-d17664599","['Europe', 'Finland', 'Northern Savonia', 'Nilsia', 'Nilsia Restaurants', 'Syvarin Helmi']","Syvarin Helmi","Unclaimed",3,"August 31, 2022","Ukko-Paavontie 2, Nilsia 73300 Finland",63.20441,28.09286,"#3 of 4 Restaurants in Nilsia","#1 of 1 International in Nilsia",5,0,0,,"International",,,,"False","True","http://www.syvari.com/syvarinhelmi_menu.htm",,,,,0,3,0,2,0,"English (2), Finnish (3)","in rating","g1016321-d17664599",,"International","Restaurants",2,3,3
"g1016321-d18826847","['Europe', 'Finland', 'Northern Savonia', 'Nilsia', 'Nilsia Restaurants', 'Restaurant Piazza']","Restaurant Piazza","Unclaimed",3,"February 17, 2022","Saaskiniementie 560, Nilsia 73310 Finland",63.29159,28.03717,"#4 of 4 Restaurants in Nilsia","#4 of 4 Restaurants in Nilsia",2,0,0,,,,,,"False","True","http://www.piazzatahko.fi",,,,,0,1,0,1,0,"English (2)","in rating","g1016321-d18826847",,,"Restaurants",2,0,0
"g1016321-d2031316","['Europe', 'Finland', 'Northern Savonia', 'Nilsia', 'Nilsia Restaurants', 'Ravintola El Monte']","Ravintola El Monte","Claimed",4.5,"August 26, 2023","Tahtitie 1 73310 Tahkovuori, Nilsia 73310 Finland",63.288334,28.041098,"#1 of 4 Restaurants in Nilsia","#1 of 1 Steakhouse in Nilsia",101,0,0,,"Steakhouse, European, Scandinavian","Dinner","Vegetarian Friendly","Reservations, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Takeout","True","True","http://www.elmonte.fi/language/en/restaurant-el-monte/",40,40,35,35,65,19,12,4,1,"Swedish (1), Spanish (1), Finnish (57), Russian (9), English (32), German (1)","in rating","g1016321-d2031316","$$ - $$$","Steakhouse, European, Scandinavian","Restaurants",32,69,57
"g1016321-d20934561","['Europe', 'Finland', 'Northern Savonia', 'Nilsia', 'Nilsia Restaurants', 'Liepuskan Herkkupaja Oy']","Liepuskan Herkkupaja Oy","Unclaimed",,,"Kaunisahontie 37, Nilsia 73320 Finland",63.193096,28.08095,,,0,0,0,,,,,,"False","True","http://www.liepuska.fi",,,,,0,0,0,0,0,"nan","in rating","g1016321-d20934561",,,,0,0,0
"g1016321-d22839844","['Europe', 'Finland', 'Northern Savonia', 'Nilsia', 'Nilsia Restaurants', 'Bistro Ukko']","Bistro Ukko","Unclaimed",,,"Ukontie 7, Nilsia 73310 Finland",,,,,0,0,0,"₪30 - ₪145","European",,,,"False","True","https://www.facebook.com/BARUKKO/",,,,,0,0,0,0,0,"nan","in rating","g1016321-d22839844","$$ - $$$","European",,0,0,0
"g1020250-d22978295","['Europe', 'Finland', 'Northern Ostrobothnia', 'Varpupera', 'Varpupera Restaurants', 'Kahvila Korppi']","Kahvila Korppi - CLOSED","Claimed",5,"March 24, 2023","Eratie 1 Syote Visitor Centre, Varpupera 93280 Finland",65.63507,27.60925,,,2,0,0,"₪34 - ₪85","Cafe","Lunch",,"Parking Available, Wheelchair Accessible, Free Wifi, Dog Friendly, Non-smoking restaurants","False","True","http://www.facebook.com/kahvilakorppi",,,,,2,0,0,0,0,"English (2)","closed","g26527019-d22978295","$$ - $$$","Cafe",,2,0,0
"g1022644-d10045234","['Europe', 'Finland', 'Northern Ostrobothnia', 'Ylivieska', 'Ylivieska Restaurants', 'Taivaallinen Rauha Tian An Oy']","Taivaallinen Rauha Tian An Oy","Unclaimed",4,"September 29, 2023","Asemakatu 4, Ylivieska 84100 Finland",64.07246,24.535881,"#3 of 9 Restaurants in Ylivieska","#1 of 1 Chinese in Ylivieska",20,0,0,,"Chinese",,,,"False","True","http://taivaallinenrauha.fi",40,40,40,,6,8,3,1,2,"English (7), Finnish (12), Swedish (1)","in rating","g1022644-d10045234","$$ - $$$","Chinese","Restaurants",7,13,12
"g1022644-d10239702","['Europe', 'Finland', 'Northern Ostrobothnia', 'Ylivieska', 'Ylivieska Restaurants', 'Haggman Ylivieska - Keskusta']","Häggman Ylivieska - Keskusta","Unclaimed",3.5,"June 7, 2022","Rautatiekatu 8, Ylivieska 84100 Finland",64.07252,24.538738,"#4 of 9 Restaurants in Ylivieska","#1 of 2 Cafe in Ylivieska",6,0,0,"₪9 - ₪85","Cafe",,,,"False","True","http://www.haggman.fi/kahvilat/ylivieska-keskusta/",,,,,0,4,2,0,0,"English (1), Finnish (5)","in rating","g1022644-d10239702","$$ - $$$","Cafe","Restaurants",1,5,5
"g1022644-d12573954","['Europe', 'Finland', 'Northern Ostrobothnia', 'Ylivieska', 'Ylivieska Restaurants', 'Ravintola Citrus']","Ravintola Citrus","Unclaimed",4,"June 14, 2019","Ollilanojankatu 2 Karkkaisen Kauppapaikka, Ylivieska 84100 Finland",64.06209,24.56317,"#7 of 9 Restaurants in Ylivieska","#3 of 3 European in Ylivieska",1,0,0,,"Pizza, European, Turkish",,,,"False","True","https://www.facebook.com/RavintolaCitrus/",,,,,0,1,0,0,0,"English, Finnish (1)","in rating","g1022644-d12573954",,"Pizza, European, Turkish","Restaurants",0,1,1
