,id,actual_url,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,price_range_and_top_tags,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,selected_language
0,g1005741-d1819690,['https://www.tripadvisor.com/Restaurant_Review-g1005741-d1819690-Reviews-Carleton_Restaurant-Clogher_County_Tyrone_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Clogher', 'Clogher Restaurants', 'Carleton Restaurant']",Carleton Restaurant, Claimed,4.0,"July 23, 2023","20 Corick Road Corick House Hotel & Spa, Clogher BT76 0BZ Northern Ireland",54.427658,-7.171361,#1 of 1 Restaurant in Clogher,#2 of 2 British in Clogher,"['$$ - $$$', 'British']",(36),,,,British,"Dinner, Breakfast",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Highchairs Available, Table Service",+ Add hours,tel:+44 28 8554 8216,"https://www.corickcountryhouse.com/carlton-restaurant.html"",""email"":""reservations@corickcountryhouse.com",bubble_40,bubble_40,bubble_40,,22,2,3.0,5.0,4.0,"{'English (36)', 'All languages'}",ALL
1,g1005741-d7817925,['https://www.tripadvisor.com/Restaurant_Review-g1005741-d7817925-Reviews-Courthouse-Clogher_County_Tyrone_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Clogher', 'Clogher Restaurants', 'Courthouse']",Courthouse, Unclaimed,4.5,"January 19, 2023","49 Main Street, Clogher BT76 0AA Northern Ireland",54.4118,-7.17085,#1 of 2 Coffee & Tea in Clogher,#1 of 2 Coffee & Tea in Clogher,"['$$ - $$$', 'Quick Bites', 'Cafe', 'British']",(30),,,,"Cafe, British","Breakfast, Lunch, Brunch",Vegetarian Friendly,"['Seating', 'Takeout', 'Wheelchair Accessible']",+ Add hours,tel:+44 28 8554 9929,,bubble_45,bubble_50,bubble_45,,25,2,2.0,0.0,1.0,"{'All languages', 'English (30)'}",ALL
2,g1010177-d3804808,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d3804808-Reviews-The_Thatch-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Thatch']",The Thatch, Unclaimed,4.5,"August 28, 2023","20 Main Street, Belleek BT93 3FX Northern Ireland",54.48024,-8.092543,#1 of 1 Coffee & Tea in Belleek,#1 of 1 Coffee & Tea in Belleek,"['$$ - $$$', 'Irish', 'Cafe', 'British']",(117),,,,"Irish, Cafe, British, Soups","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","['Takeout', 'Seating', 'Table Service']",+ Add hours,tel:+44 28 6865 8181,,bubble_50,bubble_45,bubble_45,bubble_50,85,23,4.0,2.0,3.0,"{'English (114)', 'All languages', 'Italian (1)', 'German (2)'}",ALL
3,g1010177-d4375574,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d4375574-Reviews-Belleek_Pottery_Tea_Room-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'Belleek Pottery Tea Room']",Belleek Pottery Tea Room, Claimed,4.0,"September 23, 2023","3 Main Street, Belleek BT93 3FY Northern Ireland",54.47894,-8.09257,#4 of 6 Restaurants in Belleek,#4 of 4 British in Belleek,"['$$ - $$$', 'Cafe', 'British', 'Vegetarian Friendly']",(81),,,,"Cafe, British",Lunch,Vegetarian Friendly,"['Seating', 'Highchairs Available', 'Wheelchair Accessible']", Closed now:  See all hours,tel:+44 28 6865 8501,"http://www.belleekpottery.ie/Company-Info/Visitor-Centre/Tea-Room"",""email"":""visitorcentre@belleek.ie",bubble_40,bubble_40,bubble_40,,35,26,11.0,7.0,2.0,"{'Dutch (1)', 'All languages', 'English (78)', 'German (2)'}",ALL
4,g1010177-d6942858,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d6942858-Reviews-The_Lemon_Tree_Coffee_House-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Lemon Tree Coffee House']",The Lemon Tree Coffee House, Claimed,5.0,"September 10, 2023","5 Main Street, Belleek BT93 3FY Northern Ireland",54.47989,-8.093472,#1 of 6 Restaurants in Belleek,#1 of 6 Restaurants in Belleek,"['$$ - $$$', 'Irish', 'Cafe', 'Vegetarian Friendly']",(86),,,,"Irish, Cafe","Lunch, Brunch, Breakfast","Vegetarian Friendly, Vegan Options, Gluten Free Options","['Takeout', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Free Wifi', 'Table Service']", Closed now:  See all hours,tel:+44 28 6865 9708,http://www.facebook.com/TheLemonTreeCoffeeHouse,bubble_45,bubble_45,bubble_45,,71,12,1.0,1.0,1.0,"{'German (1)', 'All languages', 'English (85)'}",ALL
5,g1010177-d7363330,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d7363330-Reviews-The_Forge_Restaurant_and_Takeaway-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Forge Restaurant and Takeaway']",The Forge Restaurant and Takeaway, Claimed,4.5,"September 6, 2023","40 Main Street, Belleek BT93 3FX Northern Ireland",54.480244,-8.090962,#3 of 6 Restaurants in Belleek,#3 of 4 British in Belleek,"['$$ - $$$', 'European', 'British', 'Vegetarian Friendly']",(70),,,,"European, British","Lunch, Dinner, Breakfast, Brunch",Vegetarian Friendly,"['Takeout', 'Reservations', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Cash Only', 'Free Wifi', 'Table Service']", Open now: 09:00 AM - 12:00 AM,tel:+44 28 6865 9174,http://www.facebook.com/pages/The-Forge-Restaurant-and-Takeaway-Belleek/1479522852275910,bubble_45,bubble_45,bubble_45,,49,8,5.0,3.0,5.0,"{'German (1)', 'English (66)', 'Italian (3)', 'All languages'}",ALL
6,g1010177-d8484014,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d8484014-Reviews-Fiddlestone_Pub-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'Fiddlestone Pub']",Fiddlestone Pub, Claimed,4.0,"August 12, 2023","15 Main Street, Belleek BT93 3FY Northern Ireland",54.47997,-8.09325,#5 of 6 Restaurants in Belleek,#2 of 2 Pub in Belleek,"['Bar', 'Pub']",(15),,,,"Pub, Bar",Breakfast,,"Reservations, Seating",+ Add hours,,,,bubble_40,bubble_40,,8,5,0.0,0.0,2.0,"{'Spanish (1)', 'All languages', 'English (14)'}",ALL
7,g1010177-d8489297,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d8489297-Reviews-The_Black_Cat_Cove-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Black Cat Cove']",The Black Cat Cove, Unclaimed,4.5,"July 17, 2022","Mainstreer, Belleek Northern Ireland",54.480213,-8.092013,#2 of 6 Restaurants in Belleek,#1 of 2 Bar in Belleek,"['$$ - $$$', 'Irish', 'Bar', 'British']",(94),,,,"Irish, Bar, Pub, British","Lunch, Dinner, Brunch",Vegetarian Friendly,"['Reservations', 'Seating', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Table Service', 'Television', 'Wheelchair Accessible']",+ Add hours,tel:+44 28 6865 8942,http://www.dulrushfishinglodge.com/the-black-cat-cove/,bubble_40,bubble_45,bubble_45,,51,30,6.0,4.0,3.0,"{'Italian (1)', 'All languages', 'French (1)', 'German (5)', 'English (85)', 'Swedish (1)', 'Spanish (1)'}",ALL
8,g1010177-d9800362,['https://www.tripadvisor.com/Restaurant_Review-g1010177-d9800362-Reviews-McDonnell_s_Burger_Bar-Belleek_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', ""McDonnell's Burger Bar""]",McDonnell's Burger Bar, Unclaimed,4.5,"February 13, 2017","30 Main Street, Belleek BT93 3FX Northern Ireland",54.48025,-8.091861,#6 of 6 Restaurants in Belleek,#6 of 6 Restaurants in Belleek,['$'],(2),,,,,Dinner,,[], Closed now:  See all hours,tel:+44 28 6865 8392,http://www.facebook.com/McDonnellsBurgerBar/,,,,,1,1,0.0,0.0,0.0,"{'All languages', 'English (2)'}",ALL
9,g1019569-d12950809,['https://www.tripadvisor.com/Restaurants-g1019569-Fivemiletown_County_Tyrone_Northern_Ireland.html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
