id,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,id_destination,status,price_category,top_tags,English,non-English,local,type,website,last_update,facebook_text,description,fb_last_update_year,website_type,website_status,fb_rating,fb_reviews,fb_followers
g1005741-d1819690,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Clogher', 'Clogher Restaurants', 'Carleton Restaurant']",Carleton Restaurant,Claimed,4.0,"July 23, 2023","20 Corick Road Corick House Hotel & Spa, Clogher BT76 0BZ Northern Ireland",54.427658,-7.171361,#1 of 1 Restaurant in Clogher,#2 of 2 British in Clogher,36,0,0,,British,"Dinner, Breakfast",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Highchairs Available, Table Service",False,True,40.0,40.0,40.0,,22,2,3.0,5.0,4.0,English (36),g1005741-d1819690,in rating,$$ - $$$,British,36,0,36,Restaurants,https://www.corickcountryhouse.com/carlton-restaurant.html,nan,,nan,0,non-facebook,online,,,0
g1005741-d7817925,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Clogher', 'Clogher Restaurants', 'Courthouse']",Courthouse,Unclaimed,4.5,"January 19, 2023","49 Main Street, Clogher BT76 0AA Northern Ireland",54.4118,-7.17085,#1 of 2 Coffee & Tea in Clogher,#1 of 2 Coffee & Tea in Clogher,30,0,0,,"Cafe, British","Breakfast, Lunch, Brunch",Vegetarian Friendly,"Seating, Takeout, Wheelchair Accessible",False,True,45.0,50.0,45.0,,25,2,2.0,0.0,1.0,English (30),g1005741-d7817925,in rating,$$ - $$$,"Quick Bites, Cafe, British",30,0,30,Coffee & Tea,,nan,,nan,0,no_website,no_website,,,0
g1010177-d3804808,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Thatch']",The Thatch,Unclaimed,4.5,"August 28, 2023","20 Main Street, Belleek BT93 3FX Northern Ireland",54.48024,-8.092543,#1 of 1 Coffee & Tea in Belleek,#1 of 1 Coffee & Tea in Belleek,117,0,0,,"Irish, Cafe, British, Soups","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Table Service",False,True,50.0,45.0,45.0,50.0,85,23,4.0,2.0,3.0,"English (114), Italian (1), German (2)",g1010177-d3804808,in rating,$$ - $$$,"Irish, Cafe, British",114,3,114,Coffee & Tea,,nan,,nan,0,no_website,no_website,,,0
g1010177-d4375574,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'Belleek Pottery Tea Room']",Belleek Pottery Tea Room,Claimed,4.0,"September 23, 2023","3 Main Street, Belleek BT93 3FY Northern Ireland",54.47894,-8.09257,#4 of 6 Restaurants in Belleek,#4 of 4 British in Belleek,81,0,0,,"Cafe, British",Lunch,Vegetarian Friendly,"Seating, Highchairs Available, Wheelchair Accessible",True,True,40.0,40.0,40.0,,35,26,11.0,7.0,2.0,"Dutch (1), English (78), German (2)",g1010177-d4375574,in rating,$$ - $$$,"Cafe, British, Vegetarian Friendly",78,3,78,Restaurants,http://www.belleekpottery.ie/Company-Info/Visitor-Centre/Tea-Room,nan,,nan,0,non-facebook,online,,,0
g1010177-d6942858,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Lemon Tree Coffee House']",The Lemon Tree Coffee House,Claimed,5.0,"September 10, 2023","5 Main Street, Belleek BT93 3FY Northern Ireland",54.47989,-8.093472,#1 of 6 Restaurants in Belleek,#1 of 6 Restaurants in Belleek,86,0,0,,"Irish, Cafe","Lunch, Brunch, Breakfast","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Free Wifi, Table Service",True,True,45.0,45.0,45.0,,71,12,1.0,1.0,1.0,"German (1), English (85)",g1010177-d6942858,in rating,$$ - $$$,"Irish, Cafe, Vegetarian Friendly",85,1,85,Restaurants,http://www.facebook.com/TheLemonTreeCoffeeHouse,"October, 2023","Pumpkin Spice & all things nice! 
 ‘Tis the season!
What are you having with your coffee today? 
Lots on the counter to choose from…. … See more","Intro
The Lemon Tree is a family run Coffee House in Belleek Co. Fermanagh. Serving fresh food & bakes! 🍰
Page · Coffee shop
5 Main Street, Belleek, United Kingdom
+44 28 6865 9708
Open now
In-store pickup
Price Range · $
Rating · 4.7 (131 Reviews)",2023,facebook,online,4.7,131,2600
g1010177-d7363330,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Forge Restaurant and Takeaway']",The Forge Restaurant and Takeaway,Claimed,4.5,"September 6, 2023","40 Main Street, Belleek BT93 3FX Northern Ireland",54.480244,-8.090962,#3 of 6 Restaurants in Belleek,#3 of 4 British in Belleek,70,0,0,,"European, British","Lunch, Dinner, Breakfast, Brunch",Vegetarian Friendly,"Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Cash Only, Free Wifi, Table Service",True,True,45.0,45.0,45.0,,49,8,5.0,3.0,5.0,"German (1), English (66), Italian (3)",g1010177-d7363330,in rating,$$ - $$$,"European, British, Vegetarian Friendly",66,4,66,Restaurants,http://www.facebook.com/pages/The-Forge-Restaurant-and-Takeaway-Belleek/1479522852275910,"August 24, 2023",Hi everyone sorry to inform you that our credit card machines are down at the moment and can only take cash. Sorry for any inconvenience this may cause,"Intro
Great home cooked food to eat in or take away
Page · Restaurant
40 Main Street, Belleek, United Kingdom
+44 28 6865 9174
Open now
Dine-in · Outdoor seating · In-store pickup
Price Range · $$
Rating · 4.9 (126 Reviews)",2023,facebook,online,4.9,126,2400
g1010177-d8484014,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'Fiddlestone Pub']",Fiddlestone Pub,Claimed,4.0,"August 12, 2023","15 Main Street, Belleek BT93 3FY Northern Ireland",54.47997,-8.09325,#5 of 6 Restaurants in Belleek,#2 of 2 Pub in Belleek,15,0,0,,"Pub, Bar",Breakfast,,"Reservations, Seating",False,False,,40.0,40.0,,8,5,0.0,0.0,2.0,"Spanish (1), English (14)",g1010177-d8484014,in rating,,"Bar, Pub",14,1,14,Restaurants,,nan,,nan,0,no_website,no_website,,,0
g1010177-d8489297,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', 'The Black Cat Cove']",The Black Cat Cove,Unclaimed,4.5,"July 17, 2022","Mainstreer, Belleek Northern Ireland",54.480213,-8.092013,#2 of 6 Restaurants in Belleek,#1 of 2 Bar in Belleek,94,0,0,,"Irish, Bar, Pub, British","Lunch, Dinner, Brunch",Vegetarian Friendly,"Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Table Service, Television, Wheelchair Accessible",False,True,40.0,45.0,45.0,,51,30,6.0,4.0,3.0,"Italian (1), French (1), German (5), English (85), Swedish (1), Spanish (1)",g1010177-d8489297,in rating,$$ - $$$,"Irish, Bar, British",85,9,85,Restaurants,http://www.dulrushfishinglodge.com/the-black-cat-cove/,nan,,nan,0,non-facebook,online,,,0
g1010177-d9800362,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Belleek', 'Belleek Restaurants', ""McDonnell's Burger Bar""]",McDonnell's Burger Bar,Unclaimed,4.5,"February 13, 2017","30 Main Street, Belleek BT93 3FX Northern Ireland",54.48025,-8.091861,#6 of 6 Restaurants in Belleek,#6 of 6 Restaurants in Belleek,2,0,0,,,Dinner,,,True,True,,,,,1,1,0.0,0.0,0.0,English (2),g1010177-d9800362,in rating,$,,2,0,2,Restaurants,http://www.facebook.com/McDonnellsBurgerBar/,"September 3, 2017","Last chance to get your Sunday night treat from McDonnell's Burger Bar! 
Thank you all so much for your support over the last number of years, we really appreciate it! 
We'll miss you all ","Intro
McDonnell's Burger Bar will specialise in offering a range of burgers to suit all, and will allow yo
Page · Burger Restaurant
Belleek, United Kingdom
+44 28 6865 8392
Open now
Price Range · $
Rating · 4.8 (28 Reviews)",2017,facebook,online,4.8,28,680
g1019569-d12950809,,,,,,,,,,,0,0,0,,,,,,False,False,,,,,,,,,,,,redirect,,,0,0,0,,,nan,,nan,0,no_website,no_website,,,0
