id,actual_url,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,price_range_and_top_tags,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,selected_language
g1009332-d11708106,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d11708106-Reviews-Al_Pacin-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Al Pacin']",Al Pacin, Unclaimed,4.0,"October 10, 2022","Demanovska dolina 69, Demanovska Dolina Slovakia",48.972626,19.598217,#7 of 21 Restaurants in Demanovska Dolina,#6 of 15 European in Demanovska Dolina,"['$$ - $$$', 'European', 'Vegetarian Friendly']",(41),,,,European,"Lunch, Dinner",Vegetarian Friendly,"['Table Service', 'Reservations', 'Seating']",+ Add hours,tel:+421 44/432 77 05,"http://www.hotelski.sk/"",""email"":""hotelski.info@gmail.com",bubble_45,bubble_45,bubble_45,,24,10,3.0,1.0,3.0,"{'English (15)', 'All languages', 'Polish (6)', 'Slovak (10)', 'Czech (6)', 'Russian (2)', 'German (1)', 'Hebrew (1)'}",ALL
g1009332-d11808815,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d11808815-Reviews-Von_Roll_Restaurant-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Von Roll Restaurant']",Von Roll Restaurant, Claimed,4.0,"August 20, 2020","1670 m above sea level, Chopok north Chopok, Demanovska Dolina 03101 Slovakia",48.953445,19.58917,#11 of 21 Restaurants in Demanovska Dolina,#2 of 4 International in Demanovska Dolina,"['$$$$', 'International']",(29),,,,International,"Lunch, Drinks",,"Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts Credit Cards, Table Service",+ Add hours,tel:+421 907 886 644,http://www.jasna.sk/zazitky/bary-restauracie/von-roll-restaurant/,bubble_45,bubble_40,bubble_40,,18,3,2.0,2.0,4.0,"{'Norwegian (1)', 'All languages', 'Russian (1)', 'Polish (3)', 'English (12)', 'Czech (3)', 'Slovak (9)'}",ALL
g1009332-d12197354,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d12197354-Reviews-Angus_Restaurant-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Angus Restaurant']",Angus Restaurant, Claimed,4.0,"August 10, 2021","Demanovska Dolina 72, Demanovska Dolina 03101 Slovakia",48.971237,19.58122,#12 of 21 Restaurants in Demanovska Dolina,#12 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'International', 'European']",(32),,,,"European, International","Lunch, Dinner, Breakfast, Drinks",,"Reservations, Seating, Table Service", Open now: 07:00 AM - 10:00 PM,tel:+421 44/290 13 63,,bubble_45,bubble_40,bubble_40,,16,6,4.0,1.0,5.0,"{'Polish (2)', 'All languages', 'Swedish (1)', 'Russian (1)', 'Czech (4)', 'Slovak (12)', 'English (12)'}",ALL
g1009332-d13393552,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d13393552-Reviews-Crystal_Bar-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Crystal Bar']",Crystal Bar, Claimed,3.5,"March 22, 2022","Demanovská Dolina 72 Biela Púť, Demanovska Dolina 03101 Slovakia",48.97122,19.583645,#13 of 21 Restaurants in Demanovska Dolina,#13 of 21 Restaurants in Demanovska Dolina,['$$ - $$$'],(32),,,,,Drinks,,"Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards",+ Add hours,tel:+421 907 886 644,http://www.jasna.sk/en/activities/bars-restaurants/crystal-bar/,bubble_35,bubble_35,bubble_35,,11,9,6.0,1.0,5.0,"{'English (15)', 'All languages', 'Slovak (8)', 'Russian (3)', 'Polish (3)', 'Czech (3)'}",ALL
g1009332-d14189222,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d14189222-Reviews-Bar_Fakt_Apres_Ski_Bar_Pizzeria-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Bar Fakt! - Apres Ski Bar & Pizzeria']",Bar Fakt! - Apres Ski Bar & Pizzeria, Claimed,4.5,"March 2, 2022","18 Demanovska Dolina, Demanovska Dolina 03101 Slovakia",49.023273,19.573792,#10 of 21 Restaurants in Demanovska Dolina,#10 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'Mexican', 'American', 'Pizza']",(14),,,₪8 - ₪34,"Mexican, American, Pizza","Lunch, Dinner, Late Night, Drinks",,"['Takeout', 'Reservations', 'Outdoor Seating', 'Seating', 'Parking Available', 'Free off-street parking', 'Television', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Free Wifi', 'Accepts Credit Cards']", Open now: 3:00 PM - 10:00 PM,tel:+421 907 216 389,"http://dragonslairjasna.sk/bar-fakt-1#adfb8a79-4a56-4fd7-b560-7029ef5ea7f0"",""email"":""bookings@jasnaadventures.co.uk",,,,,11,1,1.0,0.0,1.0,"{'Hebrew (1)', 'English (8)', 'All languages', 'Polish (1)', 'Czech (1)', 'Slovak (3)'}",ALL
g1009332-d15791915,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d15791915-Reviews-Ski_Lunch-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Ski Lunch']",Ski Lunch, Claimed,5.0,"January 21, 2020","Hotel Družba Jasná, Demanovska Dolina 03101 Slovakia",49.02979,19.57255,#17 of 21 Restaurants in Demanovska Dolina,#7 of 9 Central European in Demanovska Dolina,"['$', 'European', 'Central European']",(1),,,₪17 - ₪59,"European, Central European",[],,[],+ Add hours,tel:+421 44/559 15 55,http://www.druzbahotel.sk/gastronomia/skilunch/,,,,,1,0,0.0,0.0,0.0,"{'English', 'All languages', 'Russian (1)'}",ALL
g1009332-d15805022,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d15805022-Reviews-Habarka-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Habarka']",Habarka, Claimed,3.0,"February 18, 2022","Vyhliadka 1287 m n.m. Jasná, Demanovska Dolina 03101 Slovakia",48.964867,19.604671,#19 of 21 Restaurants in Demanovska Dolina,#14 of 15 European in Demanovska Dolina,"['$', 'European', 'Central European']",(11),,,₪17 - ₪55,"European, Central European","Breakfast, Lunch, Drinks",,"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Wine and Beer', 'Free Wifi', 'Accepts Credit Cards']",+ Add hours,tel:+421 907 886 644,"https://www.jasna.sk/zazitky/bary-restauracie/habarka/"",""email"":""info@jasna.sk",,,,,1,3,4.0,1.0,2.0,"{'English (6)', 'Polish (2)', 'All languages', 'Czech (3)'}",ALL
g1009332-d16643928,['https://www.tripadvisor.com/Restaurants-g1009332-Demanovska_Dolina_Zilina_Region.html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1009332-d16674292,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d16674292-Reviews-Restaurant_3_domky-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restaurant 3 domky']",Restaurant 3 domky, Claimed,5.0,"July 4, 2023","Demanovska Dolina 180, Demanovska Dolina 031 01 Slovakia",48.977,19.594608,#5 of 21 Restaurants in Demanovska Dolina,#4 of 9 Central European in Demanovska Dolina,"['$$ - $$$', 'International', 'Barbecue', 'European']",(21),,,₪12 - ₪100,"Central European, International, Barbecue, European","Lunch, Dinner, Drinks",,"['Reservations', 'Seating', 'Accepts Credit Cards', 'Table Service', 'Takeout', 'Outdoor Seating', 'Parking Available', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer']", Open now: 11:00 AM - 9:00 PM,tel:+421 910 900 225,"https://www.3domky.sk/?fbclid=IwAR2Zgn5rwSb_TTJ_-4mACANk0oc7JCQcL6r63mcIIMQ98km2U1K1UhdDQzI#about"",""email"":""jaroslavravinger@centrum.sk",bubble_50,bubble_50,bubble_50,,18,2,1.0,0.0,0.0,"{'Polish (4)', 'All languages', 'Russian (2)', 'French (1)', 'German (1)', 'Slovak (4)', 'Czech (1)', 'English (9)'}",ALL
g1009332-d16814587,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d16814587-Reviews-Restauracia_Demanovka-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restauracia Demanovka']",Reštaurácia Demänovka, Unclaimed,3.5,"February 19, 2023","Demänovská Dolina 296, Demanovska Dolina 031 01 Slovakia",48.96272,19.58626,#18 of 21 Restaurants in Demanovska Dolina,#18 of 21 Restaurants in Demanovska Dolina,"['European', 'Slovenian', 'Central European']",(2),,,,"European, Slovenian, Central European",[],,[],+ Add hours,tel:+421 908 939 378,,,,,,1,0,0.0,1.0,0.0,"{'English (2)', 'All languages'}",ALL
