"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local"
"g1009332-d11708106","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Al Pacin']","Al Pacin","Unclaimed",4,"October 10, 2022","Demanovska dolina 69, Demanovska Dolina Slovakia",48.972626,19.598217,"#7 of 21 Restaurants in Demanovska Dolina","#6 of 15 European in Demanovska Dolina",41,0,,,"European","Lunch, Dinner","Vegetarian Friendly","Table Service, Reservations, Seating","False","True","http://www.hotelski.sk/",45,45,45,,24,10,3,1,3,"English (15), Polish (6), Slovak (10), Czech (6), Russian (2), German (1), Hebrew (1)","in rating","g1009332-d11708106","$$ - $$$","European, Vegetarian Friendly","Restaurants",15,26,10
"g1009332-d11808815","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Von Roll Restaurant']","Von Roll Restaurant","Claimed",4,"August 20, 2020","1670 m above sea level, Chopok north Chopok, Demanovska Dolina 03101 Slovakia",48.953445,19.58917,"#11 of 21 Restaurants in Demanovska Dolina","#2 of 4 International in Demanovska Dolina",29,0,,,"International","Lunch, Drinks",,"Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts Credit Cards, Table Service","False","True","http://www.jasna.sk/zazitky/bary-restauracie/von-roll-restaurant/",45,40,40,,18,3,2,2,4,"Norwegian (1), Russian (1), Polish (3), English (12), Czech (3), Slovak (9)","in rating","g1009332-d11808815","$$$$","International","Restaurants",12,17,9
"g1009332-d12197354","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Angus Restaurant']","Angus Restaurant","Claimed",4,"August 10, 2021","Demanovska Dolina 72, Demanovska Dolina 03101 Slovakia",48.971237,19.58122,"#12 of 21 Restaurants in Demanovska Dolina","#12 of 21 Restaurants in Demanovska Dolina",32,0,,,"European, International","Lunch, Dinner, Breakfast, Drinks",,"Reservations, Seating, Table Service","True","True",,45,40,40,,16,6,4,1,5,"Polish (2), Swedish (1), Russian (1), Czech (4), Slovak (12), English (12)","in rating","g1009332-d12197354","$$ - $$$","International, European","Restaurants",12,20,12
"g1009332-d13393552","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Crystal Bar']","Crystal Bar","Claimed",3.5,"March 22, 2022","Demanovská Dolina 72 Biela Púť, Demanovska Dolina 03101 Slovakia",48.97122,19.583645,"#13 of 21 Restaurants in Demanovska Dolina","#13 of 21 Restaurants in Demanovska Dolina",32,0,,,,"Drinks",,"Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards","False","True","http://www.jasna.sk/en/activities/bars-restaurants/crystal-bar/",35,35,35,,11,9,6,1,5,"English (15), Slovak (8), Russian (3), Polish (3), Czech (3)","in rating","g1009332-d13393552","$$ - $$$",,"Restaurants",15,17,8
"g1009332-d14189222","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Bar Fakt! - Apres Ski Bar & Pizzeria']","Bar Fakt! - Apres Ski Bar & Pizzeria","Claimed",4.5,"March 2, 2022","18 Demanovska Dolina, Demanovska Dolina 03101 Slovakia",49.023273,19.573792,"#10 of 21 Restaurants in Demanovska Dolina","#10 of 21 Restaurants in Demanovska Dolina",14,0,,"₪8 - ₪34","Mexican, American, Pizza","Lunch, Dinner, Late Night, Drinks",,"Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards","True","True","http://dragonslairjasna.sk/bar-fakt-1#adfb8a79-4a56-4fd7-b560-7029ef5ea7f0",,,,,11,1,1,0,1,"Hebrew (1), English (8), Polish (1), Czech (1), Slovak (3)","in rating","g1009332-d14189222","$$ - $$$","Mexican, American, Pizza","Restaurants",8,6,3
"g1009332-d15791915","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Ski Lunch']","Ski Lunch","Claimed",5,"January 21, 2020","Hotel Družba Jasná, Demanovska Dolina 03101 Slovakia",49.02979,19.57255,"#17 of 21 Restaurants in Demanovska Dolina","#7 of 9 Central European in Demanovska Dolina",1,0,,"₪17 - ₪59","European, Central European",,,,"False","True","http://www.druzbahotel.sk/gastronomia/skilunch/",,,,,1,0,0,0,0,"English, Russian (1)","in rating","g1009332-d15791915","$","European, Central European","Restaurants",0,1,0
"g1009332-d15805022","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Habarka']","Habarka","Claimed",3,"February 18, 2022","Vyhliadka 1287 m n.m. Jasná, Demanovska Dolina 03101 Slovakia",48.964867,19.604671,"#19 of 21 Restaurants in Demanovska Dolina","#14 of 15 European in Demanovska Dolina",11,0,,"₪17 - ₪55","European, Central European","Breakfast, Lunch, Drinks",,"Outdoor Seating, Seating, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards","False","True","https://www.jasna.sk/zazitky/bary-restauracie/habarka/",,,,,1,3,4,1,2,"English (6), Polish (2), Czech (3)","in rating","g1009332-d15805022","$","European, Central European","Restaurants",6,5,0
"g1009332-d16643928",,,,,,,,,,,0,0,,,,"nan",,"nan","False","False",,,,,,,,,,,"nan","redirect",,,,,0,0,0
"g1009332-d16674292","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restaurant 3 domky']","Restaurant 3 domky","Claimed",5,"July 4, 2023","Demanovska Dolina 180, Demanovska Dolina 031 01 Slovakia",48.977,19.594608,"#5 of 21 Restaurants in Demanovska Dolina","#4 of 9 Central European in Demanovska Dolina",21,0,,"₪12 - ₪100","Central European, International, Barbecue, European","Lunch, Dinner, Drinks",,"Reservations, Seating, Accepts Credit Cards, Table Service, Takeout, Outdoor Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer","True","True","https://www.3domky.sk/?fbclid=IwAR2Zgn5rwSb_TTJ_-4mACANk0oc7JCQcL6r63mcIIMQ98km2U1K1UhdDQzI#about",50,50,50,,18,2,1,0,0,"Polish (4), Russian (2), French (1), German (1), Slovak (4), Czech (1), English (9)","in rating","g1009332-d16674292","$$ - $$$","International, Barbecue, European","Restaurants",9,13,4
"g1009332-d16814587","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restauracia Demanovka']","Reštaurácia Demänovka","Unclaimed",3.5,"February 19, 2023","Demänovská Dolina 296, Demanovska Dolina 031 01 Slovakia",48.96272,19.58626,"#18 of 21 Restaurants in Demanovska Dolina","#18 of 21 Restaurants in Demanovska Dolina",2,0,,,"European, Slovenian, Central European",,,,"False","True",,,,,,1,0,0,1,0,"English (2)","in rating","g1009332-d16814587",,"European, Slovenian, Central European","Restaurants",2,0,0
